index,strat,end,trig,duration
GRB161117B,-0.908,151.404,722642,152.31199999999998
GRB161117A,1.584,127.284,722604,125.7
GRB161113A,0.66,44.124,722063,43.464000000000006
GRB161108A,-0.496,115.34,721234,115.836
GRB161105A,-57.556,120.14,720697,177.696
GRB161104A,-0.012,0.088,720568,0.09999999999999999
GRB161022A,0.792,8.04,718655,7.247999999999999
GRB161017A,-0.808,216.24,718023,217.048
GRB161014A,-11.712,11.288,717500,23.0
GRB161011A,-0.12,4.156,716876,4.276
GRB161007A,25.86,183.552,716127,157.692
GRB161004B,-2.636,13.084,715246,15.719999999999999
GRB161004A,-0.064,1.256,715084,1.32
GRB161001A,-0.108,2.492,714404,2.6
GRB160927A,0.04,0.528,713782,0.48800000000000004
GRB160917A,0.092,14.612,712505,14.52
GRB160912A,-20.448,186.86,711914,207.30800000000002
GRB160905A,-15.2,48.8,711084,64.0
GRB160827A,-4.04,10.008,710050,14.047999999999998
GRB160826A,4.78,57.396,709907,52.616
GRB160824A,1.344,100.676,709765,99.33200000000001
GRB160821B,0.008,0.488,709357,0.48
GRB160821A,1.56,114.196,709351,112.636
GRB160819A,3.2,70.4,00086022006,67.2
GRB160815A,-4.26,4.308,708598,8.568
GRB160804A,38.204,190.948,707231,152.744
GRB160801A,-1.168,1.684,706871,2.852
GRB160726A,0.016,0.744,706052,0.728
GRB160716A,-0.016,6.376,704572,6.392
GRB160714A,0.036,0.384,704310,0.34800000000000003
GRB160712A,-3.304,41.224,704155,44.528
GRB160709A,0.0,4.8,703769,4.8
GRB160705B,-5.052,49.528,703176,54.58
GRB160703A,-8.372,36.636,702699,45.008
GRB160630A,-0.408,29.144,702252,29.552
GRB160625A,-9.332,44.588,701503,53.92
GRB160624A,0.048,0.24,701288,0.192
GRB160612A,0.032,0.28,00031791037,0.24800000000000003
GRB160611A,-25.268,9.856,690598,35.124
GRB160607A,-1.136,32.356,689597,33.492000000000004
GRB160601A,-0.012,0.108,688452,0.12
GRB160525B,0.028,0.32,687522,0.292
GRB160519A,-0.48,35.136,686818,35.616
GRB160506A,-2.552,257.976,685245,260.528
GRB160504A,-40.096,13.864,685124,53.959999999999994
GRB160425A,0.2,304.796,684098,304.596
GRB160424A,-0.88,5.584,683906,6.4639999999999995
GRB160419A,-3.02,6.396,683383,9.416
GRB160417A,-1.184,13.368,683076,14.552
GRB160412A,-1.384,30.796,682522,32.18
GRB160411A,0.088,0.444,682339,0.356
GRB160410A,-15.16,80.84,682269,96.0
GRB160409A,1.6,49.6,682162,48.0
GRB160408A,0.036,0.356,682059,0.32
GRB160327A,-3.312,30.432,680655,33.744
GRB160325A,-40.924,20.8,680436,61.724000000000004
GRB160321A,-18.136,15.34,680017,33.476
GRB160314A,0.256,8.988,679120,8.732
GRB160313A,-1.452,40.084,678929,41.536
GRB160303A,-0.012,4.964,677495,4.976
GRB160228A,2.076,100.984,676595,98.908
GRB160227A,-92.808,223.54,676423,316.348
GRB160225A,-23.832,133.624,675998,157.456
GRB160223A,0.06,134.924,675361,134.864
GRB160220B,-3.628,27.488,674734,31.116
GRB160220A,0.476,8.736,674670,8.260000000000002
GRB160216A,-0.296,10.704,673978,11.0
GRB160203A,6.68,24.12,672525,17.44
GRB160131A,12.808,340.56,672236,327.752
GRB160127A,-0.708,5.448,671828,6.156000000000001
GRB160123A,-1.276,2.676,671447,3.952
GRB160121A,0.524,11.024,671231,10.5
GRB160119A,54.124,174.264,671014,120.14000000000001
GRB160117B,0.368,11.904,670800,11.536
GRB160117A,-33.0,104.0,670793,137.0
GRB160104A,-0.936,15.628,669319,16.564
GRB151229A,-0.052,1.388,668689,1.44
GRB151228B,-15.56,32.44,668641,48.0
GRB151228A,-0.028,0.248,668543,0.276
GRB151215A,-15.08,2.768,667392,17.848
GRB151210A,-38.72,48.24,666931,86.96000000000001
GRB151205B,-0.196,1.24,666378,1.436
GRB151205A,-11.448,52.552,666352,64.0
GRB151127A,0.024,0.212,665268,0.188
GRB151122A,1.6,38.4,664653,36.8
GRB151118A,0.32,23.888,664078,23.568
GRB151114A,-3.768,1.088,663490,4.856
GRB151112A,0.336,59.2,663179,58.864000000000004
GRB151111A,-2.188,73.856,663074,76.044
GRB151031A,0.304,5.304,662330,5.0
GRB151029A,-0.772,8.18,662086,8.952
GRB151027B,1.0,81.0,661869,80.0
GRB151027A,0.652,130.232,661775,129.58
GRB151023A,-0.528,10.232,661253,10.76
GRB151022A,2.608,120.288,661036,117.67999999999999
GRB151021A,-15.204,94.852,660671,110.05600000000001
GRB151006A,-1.664,209.392,657750,211.05599999999998
GRB151004A,-9.36,127.912,657564,137.272
GRB151001B,-27.336,104.184,657321,131.51999999999998
GRB151001A,-5.44,4.388,657286,9.828
GRB150925A,10.348,132.48,656604,122.13199999999999
GRB150915A,-63.0,97.0,655721,160.0
GRB150911A,0.368,7.504,655262,7.135999999999999
GRB150910A,1.8,114.072,655097,112.272
GRB150907B,-0.644,61.376,654803,62.019999999999996
GRB150901A,-61.752,2.248,654042,64.0
